friddjavuođareive	1. frihetsbrev;  
cahkkehančoavdda	1. tenningsnøkkel;  
skruvvenčoavdda	1. skrunøkkel;  
gierdočoavdda	1. ringnøkkel;  
gohppočoavdda	1. koppnøkkel;  
násterabasčoavdda	1. kombinasjonsnøkkel;  
lađasčoavdda	1. leddnøkkel;  
giddehatčoavdda	1. kjoksnøkkel;  
bivdda	1. bønn;  2. anmodning;  
dovdda	1. sans;  
lahkadovdda	1. nærsans;  
ealadovdda	1. organsans;  
lihkadandovdda	1. bevegelsessans;  
guoskkahallandovdda	1. berøringssans;  
gullandovdda	1. hørselssans;  
guhkindovdda	1. fjernsans;  
oaidnindovdda	1. synssans;  
haksindovdda	1. luktesans;  
máistindovdda	1. smakssans;  
dássedeaddodovdda	1. likevektsans;  
fágaduovdda	1. fagområde;  
kulturduovdda	1. kulturområde;  
duvdda	1. støtte;  
hávdda	1. bad;  2. laug;  
báhkkahávdda	1. varmebad;  
reatkahávdda	1. omslag av eineavkok;  
muohtahávdda	1. damp av snø;  
reatkáhávdda	1. omslag av eineavkok;  
fádda	1. masterå;  
smaragda	1. smaragd;  
smarágda	1. smaragd;  
sneaida	1. snei;  2. bit;  3. stykke;  
gáddesneaida	1. strandstrimmel;  
apartheida	1. apartheid;  
biebmonieida	1. pleiedatter, fosterdatter;  
hiida	1. helvete;  
pyramiida	1. pyramide;  
hybriida	1. hybrid;  
boarrásiidsiida	1. aldershjem;  
oksiida	1. oksid;  
čitnadioksiida	1. kulldioksid;  
riššadioksiida	1. svoveldioksid;  
karbondioksiida	1. karbondioksid;  
kárbondioksiida	1. karbondioksid;  
pyramida	1. pyramide;  
ruoida	1. skank;  
hybrida	1. hybrid;  
skáida	1. vevskei;  
galda	1. kubbe;  2. trestamme;  
sahágalda	1. sagtømmer;  2. sagstokk;  
isitgielda	1. vertskommune;  
bilda	1. stillas;  
čáhcebilda	1. skyllestell for fisk;  
jeagelbilda	1. reinlavsforråd;  
biergobilda	1. kjøttstillas;  
ristamuolda	1. vigslet jord;  
ruovdečuolda	1. rustgang i slipesten;  
soadječuolda	1. påle i ledevingen i laksestengsel;  2. påle i lengderetningen;  
rádječuolda	1. grensebolt;  
oalgebahčuolda	1. påle;  
riebančuolda	1. revepåle;  
joddočuolda	1. stengselstolpe;  
ceakkočuolda	1. kolonne;  
čuolločuolda	1. ledegarnstolpe;  
boađusčuolda	1. resultatkolonne;  
dásádatčuolda	1. balansekolonne;  
divideanda	1. dividend;  
feanda	1. fanden;  
stipeanda	1. stipend;  
álggahanstipeanda	1. stiftelsesstipend;  
bargostipeanda	1. arbeidsstipend;  
oahppostipeanda	1. studentstipend;  
dáiddárstipeanda	1. kunststipend;  
treanda	1. trend;  
vearroboanda	1. skattebonde;  
foanda	1. fond;  
lobby-foanda	1. lobbyfond;  
luoddafoanda	1. vegfond;  
filbmafoanda	1. filmfond;  
vuovdefoanda	1. skogsfond;  
várrefoanda	1. reservefond;  
ovddidanfoanda	1. utviklingsfond;  
boazodoalloovddidanfoanda	1. reindriftsutviklingsfond;  
álggahanfoanda	1. etableringsfond;  
ovdanahttinfoanda	1. utviklingsfond;  
ovdánahttinfoanda	1. utviklingsfond;  
váldeháldofoanda	1. disposisjonsfond;  
vearrojuohkofoanda	1. skattefordelingsfond;  
boazodoallofoanda	1. reindriftsfond;  
fápmofoanda	1. styrkefond;  
geaidnofoanda	1. veifond;  
kulturfoanda	1. kulturfond;  
ealáhusfoanda	1. næringsfond;  
orohatfoanda	1. distriktsfond;  
sámiálbmotfoanda	1. samefolkets fond;  
guovllufoanda	1. områdefond;  
kulturguovddášfoanda	1. kultursentrumsfond;  
roanda	1. ljå;  
veranda	1. veranda;  
agenda	1. agenda;  
stipenda	1. stipend;  
trenda	1. trend;  
rinda	1. rind;  
ravdarinda	1. rekkverk;  
dáhkkerinda	1. takgrind;  
allehonda	1. allehånde;  
punda	1. pund;  
gerunda	1. gerundium;  
rockbánda	1. rockeband;  
propagánda	1. propaganda;  
radikánda	1. radikand;  
diskriminánda	1. diskriminand;  
veránda	1. veranda;  
stánda	1. stand;  
dioda	1. diode;  
koda	1. kode;  
virgekoda	1. stilingskode;  
ovttaiduhttinkoda	1. integrasjonskode;  
ámmátkoda	1. yrkeskode;  
elektroda	1. elektrode;  
sveisenelektroda	1. sveiseelektrode;  
metoda	1. metode;  
nettometoda	1. nettometode;  
darda	1. kant;  2. ytterste bakkekant;  
oarda	1. lengdestang på fiskehjell;  
akoarda	1. akkord;  
goahcceorda	1. barskoggrense;  
rekorda	1. rekord;  
fávrrosorda	1. fin tregrense;  2. fin skogsgrense;  
vuorda	1. saltlake;  
standárda	1. standard;  
molssafárda	1. kostyme;  
dolgefárda	1. fjærkledning;  
geassefárda	1. sommerdrakt;  
dálvefárda	1. vinterdrakt;  
gihkanfárda	1. parringsdrakt;  
gárda	1. garde;  
járda	1. yard;  
miljárda	1. milliard;  
bulevárda	1. parkveg;  
skuvlahoavda	1. skolesjef;  
sosiálahoavda	1. sosialsjef;  
ekspedišuvdnahoavda	1. ekspedisjonssjef;  
bargiidhoavda	1. personalsjef;  
báktehoavda	1. bergmester;  
personalhoavda	1. personalsjef;  
sosiálhoavda	1. sosialsjef;  
gievkkanhoavda	1. kjøkkensjef;  
oadjohoavda	1. trygdesjef;  
girjerádjohoavda	1. biblioteksjef;  
ruhtadoallohoavda	1. økonomisjef;  
kinohoavda	1. kinosjef;  
byrohoavda	1. byråsjef;  
buohccedikšohoavda	1. sykepleiesjef;  
teáhterhoavda	1. teatersjef;  
kulturhoavda	1. kultursjef;  
ásahushoavda	1. byråsjef;  
ealáhushoavda	1. næringssjef;  
livnnethoavda	1. ligningssjef;  
luoddaravda	1. vegkant;  
asfáltaravda	1. asfaltkant;  
láiberavda	1. brødkant;  
beavderavda	1. bordkant;  
badjeravda	1. øvrekant;  
mielleravda	1. elvemelkant;  
báhteravda	1. grytekant;  
boaganravda	1. ytterstykke av et vevet belte;  
dorjenravda	1. håndlist;  
siidoravda	1. marg;  
gierdoravda	1. tønnekant;  2. ringkant;  3. sirkelkant;  
áloravda	1. høykant;  
háloravda	1. fas;  
ruitoravda	1. grytekant;  
gahččastatravda	1. marebakke;  
gurutravda	1. venstrekant;  
bajáravda	1. lynkant;  
olgešravda	1. høyrekant;  
ovda	1. foran;  
njuneovda	1. rommet framfor nesen;  
ruovda	1. komagtupp;  2. skistropp;  
gámaruovda	1. sommerkomagsåletupp;  
ovdavuovda	1. brysthule;  
raddevuovda	1. brysthule;  
badjevuovda	1. brystkasse;  
vuollevuovda	1. bukhule;  
mannevuovda	1. fuglekasse;  
monnevuovda	1. rugekasse;  
ruvda	1. brudekrone;  
moattelađas-dávda	1. leddsykdom;  
sogadávda	1. slektssykdom;  
spánskadávda	1. spanskesyke;  
healladávda	1. heallasykdom;  
čottadávda	1. halssykdom;  
substantiivadávda	1. substantivsyke;  
čáhceruobbedávda	1. vannkopper;  
árbedávda	1. arvesykdom;  
neurodeahkkedávda	1. nevromuskelsykdom;  
nevrodeahkkedávda	1. nevromuskelsykdom;  
guolledávda	1. fiskesykdom;  
vuolledávda	1. sykdom i pungen;  
njálbmedávda	1. munnskurv;  
leasmedávda	1. gikt;  
lađasleasmedávda	1. leddgikt;  
vátnedávda	1. mangelsykdom;  
oaivedávda	1. hodesykdom;  
spiraldávda	1. spiralsykdom;  
spihtáldávda	1. spedalskhet;  
ástandávda	1. lammelse;  
jápmindávda	1. dødelig sykdom;  
obbondávda	1. forstoppelse;  
čidnondávda	1. dyreforstoppelse;  
bárkodávda	1. meslinger;  
boazodávda	1. reinsykdom;  
sohkardávda	1. sukkersyke;  
logahasdávda	1. infeksjonssykdom;  
gánasdávda	1. frostanfall;  
borasdávda	1. kreft;  
moattelađasdávda	1. flerleddssykdom;  
rabiesdávda	1. rabies;  
njuoskkesdávda	1. kjønnssykdom;  
nuoskkesdávda	1. kjønnssykdom;  
geahpesdávda	1. lungesykdomm;  
sisdávda	1. innvortes sykdom;  
oppohatdávda	1. forstoppelse;  
skurbbetdávda	1. skjørbuk;  
njoammudávda	1. smittsom sykdom;  
rohttudávda	1. ondartet epidemi;  
saŋášdávda	1. skabb;  2. fnatt;  
hávda	1. ærfugl;  
áhpehávda	1. praktærfugl;  
lávda	1. flagg;  
flávda	1. flagg;  
bajárávda	1. overkant;  
báda	1. bad;  
dekáda	1. dekade;  
balláda	1. ballade;  
šohkoláda	1. sjokolade;  
šuhkoláda	1. sjokolade;  
suhkerláda	1. sjokolade;  
šukuláda	1. sjokolade;  
marináda	1. marinade;  
karbonáda	1. karbonade;  
bunáda	1. bunad;  
paráda	1. parade;  
máksinnákcagráda	1. likviditetsgrad;  
govččagráda	1. dekningsgrad;  
vealgegráda	1. gjeldsgrad;  
iežaskapitálgráda	1. egenkapitalgrad;  
vuoitográda	1. avkastningsgrad;  
mastergráda	1. mastergrad;  
doavttergráda	1. doktorgrad;  
doavttirgráda	1. doktorgrad;  
celsiusgráda	1. celsiusgrad;  
boađusgráda	1. resultatgrad;  
mielahttostáda	1. medlemsstat;  
idea	1. idé;  
trofea	1. trofé;  
káfea	1. kafé;  
trokea	1. troké;  
sámimusea	1. samemuseum;  
geografa	1. geograf;  
biografa	1. biograf;  
biffa	1. biff;  
šeriffa	1. sheriff;  
táriffa	1. tariff;  
stoffa	1. stoff;  
oahppostoffa	1. lærestoff;  
skuffa	1. skuff;  
ommanskuffa	1. stekeovnspanne;  
muffa	1. muffe;  
báffa	1. paff;  
širáffa	1. sjiraff;  
alfa	1. alfa;  
romfa	1. trumf;  
lymfa	1. lymfe;  
strofa	1. strofe;  
katastrofa	1. katastrofe;  
apostrofa	1. apostrof;  
morfa	1. morf;  
allomorfa	1. høymorf;  
vuoktaskárfa	1. toppskarv;  
hieroglyfa	1. hieroglyff;  
gráfa	1. graf;  
paragráfa	1. paragraf;  
ulbmilparagráfa	1. målparagraf;  
riektemeannudanparagráfa	1. rettergangsparagraf;  
telegráfa	1. telegraf;  
serigráfa	1. serigraf;  
videográfa	1. videograf;  
geográfa	1. geograf;  
historiográfa	1. historiograf;  
leksikográfa	1. leksikograf;  
diskográfa	1. diskograf;  
stenográfa	1. stenograf;  
monográfa	1. monograf;  
pornográfa	1. pornograf;  
typográfa	1. typograf;  
xerográfa	1. xerograf;  
petrográfa	1. petrograf;  
fotográfa	1. fotograf;  
autográfa	1. autograf;  
čáhcedraga	1. elvedragrace;  
saga	1. saga;  
ceagga	1. påståelighet;  2. trass;  
eatniheagga	1. livmor;  
boazoheagga	1. såvidt noen rein;  
leagga	1. skaft;  2. legg;  
buksaleagga	1. bukselegg;  
biipoleagga	1. pipeskaft;  
šleagga	1. slegge;  
treagga	1. dregg;  2. båtanker;  
hoagga	1. kraft;  
loagga	1. stett;  
moagga	1. fuglerøre;  
sisabiegga	1. vind inn fjorden;  
davvebiegga	1. nordavind;  
jáldobiegga	1. sval vind;  
olggosbiegga	1. vind ut fjorden;  
buorádatbiegga	1. godværsvind;  
beaivvášbiegga	1. solvind;  
laigga	1. mineralspat;  
eanalaigga	1. feltspat;  
eananlaigga	1. feltspat;  
šaddanvuolgga	1. avstamning;  2. byrd;  3. herkomst;  
álgovuolgga	1. opprinnelse;  
álgga	1. initiativ;  2. opphav;  
válgga	1. valg;  
blogga	1. blogg;  
cuogga	1. evne;  
luogga	1. skåk;  
máhkkavuogga	1. makkangel;  
liidnavuogga	1. lineangel;  
bastevuogga	1. sluk;  
soavvelvuogga	1. harrflue;  
rávrunvuogga	1. røyeflue;  
bálddisvuogga	1. kveiteangel;  
njahpávuogga	1. pilkesluk;  
čeargga	1. skavl;  2. snøskavl;  
sárgga	1. strek;  
skugga	1. skygge;  
mielkemugga	1. melkemugge;  
brugga	1. brygge;  
joavgga	1. snøskavl;  
dásseágga	1. likestillingsargument;  
vuosteágga	1. motargument;  
oaiveágga	1. hovedargument;  
gágga	1. kagge;  
kágga	1. kagge;  
lágga	1. småsei;  
flágga	1. flagg;  
viibanágga	1. forfallsgrunn;  
váldoágga	1. hovedargument, kronargument;  
mahkášágga	1. skinnargument;  
šleađgga	1. glimt;  2. blink;  
teaiga	1. teig;  
siiga	1. dønning;  
fealga	1. felg;  
jalga	1. slette;  
oalga	1. strå;  
jeaŋgagilga	1. gjengeflanke;  
várregilga	1. fjellside;  
goalvaholga	1. stativ for båthvelv;  
fierbmeholga	1. garnrå;  
nuohtteholga	1. notstativ;  
buođđoholga	1. laksestengsel;  
bivttasholga	1. klesstang;  
uvjaguolga	1. dunhår;  
bihceguolga	1. rimbelagt hårbekledning;  
čáhceguolga	1. vannhår;  
gulbmeguolga	1. dekkhår;  2. ullhår;  
njávveguolga	1. bukkehår;  
bostinguolga	1. brennhår;  
ramasguolga	1. øyevippe;  
govččasguolga	1. dekkhår;  
biročolga	1. fråde;  
biručolga	1. djevelspytt;  
bossučolga	1. brennmanet;  
dálga	1. talg;  2. fettstoff;  
gálga	1. falk;  
gárgiidangálga	1. ekspansjonsevne;  
gaskasálga	1. mellommåltid;  
tálga	1. talg;  
gielddaválga	1. kommunevalg;  
stivrraválga	1. styrevalg;  
gielddastivrraválga	1. kommunestyrevalg;  
válgastivrraválga	1. valgstyrevalg;  
sámeválgastivrraválga	1. samiskvalgstyrevalg;  
lohkanválgastivrraválga	1. lesevalgstyrevalg;  
doarjjastivrraválga	1. støttestyrevalg;  
giellastivrraválga	1. språkstyrevalg;  
skuvlastivrraválga	1. skolestyrevalg;  
personálastivrraválga	1. personstyrevalg;  
prográmmastivrraválga	1. programstyrevalg;  
leanastivrraválga	1. lensstyrevalg;  
várrestivrraválga	1. fjellstyrevalg;  
interimstivrraválga	1. interimstyrevalg;  
bajásšaddanstivrraválga	1. oppvekststyrevalg;  
jienastanstivrraválga	1. stemmestyrevalg;  
meahcástanstivrraválga	1. utmarksstyrevalg;  
guolástanstivrraválga	1. fiskestyrevalg;  
eanavuovdinstivrraválga	1. eiendomssalgstyrevalg;  
eananvuovdinstivrraválga	1. eiendomssalgstyrevalg;  
nuppástuhttinstivrraválga	1. omstillingsstyrevalg;  
váldostivrraválga	1. hovedstyrevalg;  
girkostivrraválga	1. kirkestyrevalg;  
kirkostivrraválga	1. kirkestyrevalg;  
fylkkaeanadoallostivrraválga	1. fylkeslandbruksstyrevalg;  
boazodoallostivrraválga	1. reindriftsstyrevalg;  
fylkkaboazodoallostivrraválga	1. fylkesreindriftstyrevalg;  
kulturstivrraválga	1. kulturstyrevalg;  
orohatstivrraválga	1. reinbeitedistriktsstyrevalg;  
álbmotstivrraválga	1. folkestyrevalg;  
gávpotstivrraválga	1. bystyrevalg;  
guovllustivrraválga	1. stedsstyrevalg;  
oktasašstivrraválga	1. enhetstyrevalg;  
ođđaválga	1. omvalg;  
stuorradiggeválga	1. stortingsvalg;  
sámediggeválga	1. sametingsvalg;  
sámidiggeválga	1. sametingsvalg;  
jienastanlihtteválga	1. urnevalg;  
lasihanválga	1. suppleringsvalg;  
njuolggoválga	1. direktevalg;  
gorrelohkoválga	1. forholdstallsvalg;  
eanetlohkoválga	1. flertallsvalg;  
gorrelohkkoválga	1. forholdstallsvalg;  
ođđasisválga	1. nyvalg;  
gorrelohkuválga	1. forholdstallsvalg;  
eanetlohkuválga	1. flertallsvalg;  
paviljonga	1. paviljong;  
asfáltabetonga	1. asfaltbetong;  
sierrapedagoga	1. spesialpedagog;  
spesiálpedagoga	1. spesialpedagog;  
mánáidsuodjaluspedagoga	1. barnevernspedagog;  
synagoga	1. synagoge;  
dialoga	1. dialog;  
kataloga	1. katalog;  
vuollekataloga	1. underkatalog;  
telefonkataloga	1. telefonkatalog;  
oahpponeavvokataloga	1. læremiddelskatalog;  
váldogeologa	1. hovedgeolog;  
triologa	1. triologi;  
psykologa	1. psykolog;  
monologa	1. monolog;  
sosialantropologa	1. sosialantropolog;  
prologa	1. prolog;  
ploga	1. plog;  
dearga	1. kukake;  2. råkake;  
biilafearga	1. bilferge;  
jearga	1. føreforhold;  
garga	1. vers;  
goarga	1. lundefugl;  
toarga	1. torg;  
muohtaborga	1. snefokk;  
rustaborga	1. frostkov uten snø;  
čáhceborga	1. vannsprut;  2. sjørokk;  
mieseborga	1. kalvingstid;  
sáttoborga	1. sandstorm;  
guorga	1. trane;  
dramaturga	1. dramaturg;  
gárga	1. tog;  
ruossagárga	1. russetog;  
soahtegárga	1. felttog;  
sentrifuga	1. sentrifuge;  
pluga	1. plog;  
čohkaleavga	1. vimpel;  
sámeleavga	1. sameflagg;  
sámileavga	1. sameflagg;  
fáhccbealčivga	1. småkveite;  
boaročivga	1. kleggunge;  
ovdačuovga	1. frontlys;  
signálačuovga	1. signallys;  
oljodeattačuovga	1. oljetrykkslampe;  
ravkečuovga	1. blinklys;  
maŋŋečuovga	1. baklys;  
orustančuovga	1. parkeringslys;  
goazančuovga	1. bremselys;  
láddenčuovga	1. ladelampe;  
murdinčuovga	1. ryggelys;  
vuodjinčuovga	1. kjørelys;  
heahtefuomášahttinčuovga	1. nødsignallys;  
čuožžunčuovga	1. ståendelys;  
šleađggočuovga	1. varsellys;  
šleađgočuovga	1. blinklys;  
guovločuovga	1. retningslys;  
geaidnočuovga	1. gatelys;  
bálggesčuovga	1. gatelys;  
guhkesčuovga	1. fjernlys;  
várrehusčuovga	1. varsellampe, varsellys;  
johtolatčuovga	1. trafikklys;  
mierkáčuovga	1. tåkelys;  
museafága	1. museumsfag;  
musihkkafága	1. musikkfag;  
matematihkkafága	1. matematikkfag;  
gaskafága	1. mellomfag;  
giellafága	1. språkfag;  
sosiálafága	1. sosialfag;  
dearvvašvuođafága	1. helsefag;  
oahpposuorgefága	1. læreremnefag;  
duodjefága	1. håntverksfag;  
báktefága	1. bergverksfag;  
realfága	1. realfag;  
sosialfága	1. sosialfag;  
sámegielfága	1. samiskspråkfag;  
válljenfága	1. valgfag;  
huksenfága	1. byggefag;  
váldofága	1. hovedfag;  
boazodoallofága	1. reindriftsfag;  
oahppofága	1. lærerfag;  
kulturmuitofága	1. kulturminnefag;  
vuođđofága	1. grunnfag;  
birasfága	1. miljøfag;  
