abmet	1. skrike;  
deattuhit	1. betone, fremheve, poengtere;  
devkkodahttit	1. anløpe;  
dierrut	1. tilsmusses;  
digaštallat	1. debattere;  
diktet	1. dikte;  
diltet	1. dilte;  
divodit	1. redigere;  
divrrastaddat	1. være dyr på varen;  
divrrastallat	1. være dyr;  
divrrašit	1. anse for å være dyr;  
divrudit	1. fordyre;  
divrut	1. bli dyrere;  
diđoštit	1. innhente opplysninger;  
doaimmahuvvat	1. bli tiltaksløs;  
doaladit	1. ro båten sakte;  
dohppehallat	1. få anfall;  
dokŋadit	1. tetne;  
dopmuluvvat	1. bli støvet;  
dorjet	1. støtte;  
dovddiidahttit	1. identifisere;  
dovdnjet	1. dekke;  
duhppet	1. tove;  
duhtadit	1. tilfredsstille;  
duldehastit	1. skålde;  
duldehit	1. koke opp;  
dulpet	1. stuke;  
dumssagit	1. bli posete, ujevn;  
duobadit	1. hale;  
duobussillet	1. filtrere;  
duoguštit	1. beslaglegge;  
duohpahuvvat	1. krympe;  
duohčahallat	1. traktere;  
duohččat	1. spare;  
duolbbasinjorahit	1. plandreie;  
duolddadit	1. surre;  
duorbalit	1. plaske kraftig;  
duorrat	1. klinke;  2. trekke;  
duppalastit	1. overlappe;  
durbbodit	1. plaske;  
durbet	1. plaske, en enkelt gang;  
duššindahkat	1. annullere;  
duššástuhttit	1. frustrere;  
dáhkut	1. smi;  
dáhpet	1. tape;  
dárjut	1. tilby;  
dárkilastit	1. justere;  
dárkkistit	1. kontrollere, overprøve;  
dárkkuhit	1. betrakte;  
dárránit	1. summe seg;  
dássádallat	1. balansere;  
dásásmit	1. bli jevnere;  
eaiggádastit	1. opptre som eier av el. herre over;  
eaiggáduššat	1. eie;  
eaktudit	1. ta forbehold;  
ednet	1. jorde;  
erohallat	1. skille;  
erret	1. isolere;  
fanahit	1. tøye;  2. tøye;  
fierbmut	1. sette ut garn;  
fierpmástallat	1. fiske med garn;  
fierpmástuvvat	1. få skrekk i seg for fiskegarn;  
fiilet	1. file;  
fitnet	1. utbytte;  
flirtet	1. flirte;  
fráŋket	1. frankere;  
fámohuhttit	1. sette ut av kraft;  
fápmudit	1. delegere;  
fástudit	1. faste;  
fávledit	1. bygge laksestengsel lenger utfra land;  
fávlánit	1. gå ut på dypere vann;  
gabahahttit	1. utvise;  
galjidit	1. brotsje;  
gallehit	1. mette;  
garrajugahit	1. hardlodde;  
geahpadit	1. sette tråd i garnnål;  
geallit	1. dra not med notspill;  
geassádit	1. trekke seg;  
geatnegahttit	1. plikte;  
geatnit	1. sammenbinde to eller flere fiskegarn i lenke;  
geavvadit	1. la heve;  
geažuhit	1. antyde;  
gehlát	1. dra, trekke not;  
gelvet	1. kjevle;  
gevret	1. vise bort;  
geđđot	1. blendes;  
giddehuvvot	1. behefte;  
giebahuhttit	1. sote;  
giehtaguššat	1. håndheve;  
gievrudit	1. forsterke;  
giktadit	1. sette synkestein på not, garn;  
giktalit	1. tirre;  
gilggodit	1. misfarges;  
girdnut	1. kjerne smør;  
girjet	1. bokføre;  
goalvát	1. ligge hvelvet;  
goarvanit	1. få posefasong;  
goazahit	1. forhale, retardere;  
goazastit	1. bremse;  
gohpat	1. forsenke;  
goldet	1. hove sild i sildeknute;  
goluiduhttit	1. kostnadsføre;  
govdet	1. stige til overflaten;  
govdnat	1. tape seg;  
govdodit	1. flotne;  
govssáhallat	1. bli uten (mat), bli forfordelt;  
gođahit	1. garnfiske;  
gratiidnet	1. gratinere;  
gubbarastit	1. stupe kråke;  
guitet	1. kvittere;  
gumppostit	1. lage blodklubb;  
guohpanjaddit	1. ha muggsmak;  
guoimmuhit	1. underholde;  
guolehuvvat	1. bli fiskefattig;  
guollenjaddit	1. ha fiskesmak;  
guorrasit	1. slutte seg til;  
guovdduštit	1. sentralisere;  
guovdilastit	1. konsentrere;  
guođahit	1. tilbakeholde;  
gurradit	1. fuge;  
gustot	1. gjelde;  
guđjet	1. isolere;  
gádjalit	1. forsvare;  
gáhkket	1. bake kake;  
gáifat	1. glane;  2. stirre;  
gállit	1. være høy nok til å stå i vannet;  
gárbmudit	1. ta vare på;  
gč	1. jfr;  
heaittihit	1. avvikle;  
heaittihuvvot	1. oppheves;  
heavganit	1. belastet med for mye arbeid;  
heavvalastit	1. høvle;  
hehppehit	1. skjemme ut;  
heivehallat	1. arrondere;  
helpet	1. avlaste;  
hirpmástuhttit	1. sjokkere;  
hirret	1. vikke;  
hivllášit	1. synes å være for tynn;  
hivludit	1. få til å bli tynn;  
hivlut	1. bli tynn, tynntrådet;  
hoalddahit	1. styrke;  
hoalddahuvvat	1. bli kraftløs;  
hobehit	1. forsere;  
hunet	1. hone;  
hábmet	1. utforme;  
hálbbidit	1. senke prisen;  
háldet	1. disponere;  
háldogáržžidit	1. båndlegge;  
hállanit	1. bøye;  
hánástaddat	1. være gjerrig;  
hárjehahttit	1. trimme;  
ihttot	1. få utslett;  
illástit	1. mishandle;  
iđuhit	1. få til å spire;  
jarrut	1. danne seg knute;  
jearahallat	1. intervjue;  
jeŋget	1. gjenge;  
jorbet	1. avrunde;  
jođuhuvvat	1. bli mindre etterspurt;  
jugahit	1. lodde;  
juokŋat	1. sprekke, bli utett;  
juolgguštit	1. mobilisere etter sengeleie;  
jurssahit	1. frese;  
jábálduvvat	1. bli velstående;  
jávkadit	1. estingvere;  
kompostet	1. kompostere;  
kontet	1. konte;  
krommadit	1. forkromme;  
lagahit	1. tilnærme;  
lahttudit	1. innlemme;  
laktit	1. kople, lime;  
lanjastit	1. inndele;  
lađastallat	1. analysere;  
lehttohit	1. akselerere;  
lihccut	1. ekskludere;  2. oppsi;  
lihttoláigohit	1. bortfeste;  
liibmet	1. lime;  
liigudit	1. avse;  
livdnet	1. utlikne;  
loahppameannudit	1. sluttbehandle;  
loahppaárvvoštallat	1. konkludere;  
loavkašuhttit	1. fornærme, såre;  
loavkidit	1. krenke;  
loavvat	1. være spandabel;  
loaŋkit	1. lage lyd med årene;  
logahallat	1. registrere;  
lohkkot	1. avregnes;  
lonistit	1. innløse;  
lotnašuvvat	1. bli innløst;  
lovkidit	1. fornærme;  
luddestit	1. flekke fisk;  
luobahit	1. avhende;  2. avstå;  
luokčat	1. meisle;  
luonddahuvvat	1. bli svak;  
luovdádit	1. sette flåer på garn eller not;  
luvdet	1. sette flåer;  
luvvedit	1. løsgjøre;  
lágastit	1. prosedere;  
láibmat	1. legge seg mer eller mindre flatt i vannet;  
lámastuhttit	1. grave;  
lávdadit	1. desentralisere;  
maŋŋálastit	1. rangere;  
meaddit	1. tabbe;  
mearddástallat	1. fange fisk med ruse;  
mearrat	1. forlange;  
merrehit	1. rasjonalisere;  
merret	1. porsjonere;  
mestet	1. sylte;  
mielvuolláičállit	1. parafere;  
miettaštallat	1. fraråde;  
mieđđut	1. råde;  
mihttet	1. bemerke, utheve;  
mihttodallat	1. dimensjonere;  
millet	1. kverne;  
moardit	1. skyte garn eller not;  
mohkastit	1. svinge;  
mohkkasaddat	1. drible;  
mollet	1. mose;  
movttidahttit	1. inspirere;  
movttiidahttit	1. motivere;  
muddet	1. korrigere, moderere;  2. regulere;  
muohkadit	1. bearbeide, videreforedle;  
muŋkát	1. sture;  
máguhit	1. krydre;  
máhcahit	1. tilbakeføre;  
máinnustit	1. annonsere;  
mávssihit	1. anvise;  
máŋget	1. kopiere;  2. mangfoldiggjøre;  
nammadit	1. oppnevne;  
namuhastit	1. nevne i forbifarten;  
namuhit	1. nevne;  
navválit	1. røyte;  
nađđadit	1. skjefte;  
neavttašit	1. spille;  
nirvonárvohallat	1. utføre grimaser;  
njalpit	1. slure;  
njivlut	1. få på seg grønske;  
njuohpagoahtit	1. dra not på land;  
njuohpat	1. dra noten helt på land;  
njuohppat	1. spinne;  
njuordásit	1. prisgi;  
njurjet	1. fange sel;  
njárbudit	1. spe;  
noahkut	1. presumere;  
noastalit	1. trekke not flere ganger;  
noastit	1. trekke not på land;  
noađuhit	1. belaste;  
novket	1. støvsuge;  
nuohtástallat	1. fiske med not;  
nuohtástit	1. bruke not;  
nuorrahuvvat	1. sløves;  
návlet	1. slå påler;  
oahcudit	1. berolige;  
oahcut	1. beroliges;  
oahpadit	1. se til garn;  
oassálastit	1. delta i;  
oastalit	1. ville kjøpe;  
oasttihit	1. får noen til å kjøpe;  
oazistit	1. sette stengsel;  
oidit	1. preferere;  
oktoráđđet	1. dominere;  
olggosaddit	1. utgi;  
olggosgolludit	1. utgiftsføre;  
oppastit	1. generalisere;  
ordnet	1. sortere;  
orustahttit	1. sette til side;  
ovdaláigohit	1. framfeste;  
ovdanbuktit	1. legge fram;  
ovdandoallat	1. anføre;  
ovddastit	1. forestå;  
ovttaiduhttit	1. integrere;  
ovttastahttit	1. forene, inkorporere, kombinere;  
ođasmahttit	1. oppdatere;  
ođastit	1. innovere;  
rassehit	1. ruse;  
ravdet	1. fase;  
raŋihit	1. rykke;  
reidet	1. foredle;  
revlet	1. revle;  
riggudit	1. anrike;  
rihkkuhit	1. serratere;  
rihkustit	1. forse;  
rihttet	1. partere slakt;  
risket	1. risikeret;  
risset	1. belegge laksestengsel med ris;  
riškalit	1. yte et lite bidrag;  
riššudit	1. dusje;  
roasmmohuvvat	1. skade seg;  
rocket	1. rocke;  
rohcošit	1. drive utukt;  
rohčasit	1. drive sammenvaset;  
ruđahuvvat	1. komme i likviditetsvansker;  
ráddjet	1. begrense;  
ráddjot	1. lagres;  
ráfehuhttit	1. sjenere;  
ráfáiduhttit	1. fredlyse;  
ráhket	1. barbere;  
ráhkket	1. barbere;  
sajáiduhttit	1. installere;  
sajáiduvvat	1. tilpasse seg;  
sajálduhttit	1. installere;  
seahkut	1. sette ekstra med ris;  
seailluhit	1. forvare;  
searaiduvvat	1. flinkere;  
sentrifuget	1. sentrifuge;  
sevlet	1. sikte;  
sihkkarastit	1. sikre;  
sillet	1. sile;  
sirddáldahttit	1. desentralisere;  
sisabuktit	1. innføre;  
sisafievrridit	1. innføre;  
sisagáibidit	1. innkreve;  
sisačálihuvvot	1. innmeldes;  
sivahallat	1. anklage for, påtale;  
sivladit	1. telne inn garn;  
skeartnjagit	1. bli brunsvidd;  
skihkket	1. behefte;  
skoađastit	1. panele;  
skuvttet	1. vrake;  
smievrut	1. mørne;  
sniehpput	1. unnvike;  
soabahit	1. mekle;  
soabastuvvat	1. gå an;  
spaigat	1. splintre;  
sparkelastit	1. sparkle;  
spiehkastit	1. fravike;  
stargadit	1. støtte;  
stellet	1. plassere;  
stenografet	1. stenografe;  
stenográfet	1. stenografere;  
steŋget	1. gjøre sildesteng;  
stielgudit	1. spjelke;  
stiivet	1. stive tøy;  
stivret	1. styre;  
stulljašuvvat	1. bli uklar;  
stuoriduvvot	1. forstørres;  
stuorámustit	1. maksimere;  
stuorásmit	1. bli større;  
stáŋget	1. lage laksestengsel;  
stáđásmit	1. bli stødig;  
submet	1. summere;  
sudjadit	1. begrunnet;  
suhpodit	1. sette ut, kaste drivgarn;  
suitit	1. ha råd til;  
suivvastuvvat	1. kjede seg;  
suohkudit	1. jevne;  
suolbmudit	1. fordøye;  
suonjardahttit	1. stråle;  
suostat	1. forsømme;  
suovganit	1. bli slitt;  
sustilit	1. snuse på;  
suvjadit	1. snurre opp juksa;  
suvlet	1. gi smak til mat;  
suvvolastit	1. bli disig;  
suđđit	1. ovnssteke;  
sveiset	1. sveise;  
ságaškuššat	1. drøfte;  
sáhcut	1. ripe;  
sáimmastallat	1. fiske med finmasket garn;  
sáktet	1. safte;  
sánuhit	1. diktere;  
sátnádit	1. formulere seg;  
testamentet	1. testamentere;  
tiltet	1. tilte;  
táhpet	1. tape;  
unniduvvot	1. forminskes;  
uŋggardit	1. ha matlyst;  
uštet	1. dorge;  
vahágahttit	1. forurette;  
vaksit	1. øke;  
vakuumdovdnjet	1. vakuumpakke;  
vavdadit	1. henge fast;  
vavddadit	1. sette seg fast;  2. stamme;  
veadjehahttit	1. sannsynliggjøre;  
veagaiduhttit	1. bemanne;  
veahkadit	1. befolke;  
veajahahttit	1. klekke;  
veajuiduhttit	1. styrkes;  
vealahit	1. berøve;  2. diskriminere;  
vearuhit	1. beskatte;  
velggohit	1. gi kreditt;  
velgohit	1. få på kreditt;  
verdnet	1. male;  
vievgŋadit	1. drive fast garn;  
vievgŋat	1. sette seg fast i noe i vannet;  
vihkkedallat	1. resonnere;  
virgáibidjat	1. ansette;  
vispet	1. vispe;  
visttehuvvat	1. miste muligheten for å få laks;  
vuogádahttit	1. systematisere;  
vuohppášit	1. ro baklengs;  
vuoigaduhttit	1. berettige;  
vuoigatvuođavuođđudit	1. hjemle;  
vuoisat	1. sting;  
vuoksat	1. nå bunn;  
vuolidahttit	1. avskrive;  
vuolildit	1. smyge under garn/ not;  
vuollástit	1. annektere, okkupere;  
vuoruhit	1. prioritere;  
vuostejienastit	1. kontravotere;  
vuosttaldit	1. protestere;  
vuosttildit	1. opponere mot;  
vuovdalit	1. markedsføre;  
vuovssuhit	1. få til å nå bunn;  
vuođuštit	1. begrunne;  
vuođđuduvvot	1. konstituere seg;  
vurdet	1. ha i saltlake;  
vustet	1. yste;  
váccihit	1. flytte;  
váccášit	1. spasere;  
váfistit	1. sikre;  
váidudit	1. dempe;  2. modifisere;  
várašit	1. reservere;  
várvet	1. dreie;  
vásihit	1. erfare, oppleve;  
ábbut	1. koke over;  
áhcagastit	1. gløde;  
áhčástaddat	1. bruke benevnelsen far til noen;  
áibadit	1. gjøre at noe forsvinner;  
áigodahttit	1. periodisere;  
áitalastit	1. opptre med ringer rundt seg;  
ákkastit	1. komme med argumenter;  
áktet	1. respektere, bry seg om;  
álkidahttit	1. forenkle;  
álmmehuvvat	1. bli kraftløs;  
álmmuhit	1. annonsere, avertere;  
árvogierragahttit	1. verdimakismere;  
árvvohuvvat	1. bli verdiløs;  
árvvosmahttit	1. stimulere;  
árvvusatnit	1. respektere;  
áráskit	1. bli tirret;  
árástuvvat	1. bli øm;  
ásahallat	1. regulere;  
ávkkárduvvat	1. dra nytte;  
ávkkástallat	1. utnytte;  
ávnnaldit	1. angle;  
áŋkorastit	1. ankre;  
áššehuhttit	1. frikjenne;  
áššehuvvot	1. frifinnes;  
áššečuoččaldahttit	1. reise søksmål;  
áššečuoččuhit	1. saksøke;  
áššáskuhttojuvvot	1. saksøkes;  
áššáskuvvat	1. bli erklært for skyldig;  
áššásskuhttit	1. anklage;  
šattastuvvat	1. bli til noe;  
šelget	1. polere;  
čiehkát	1. gjemme;  
šiehtadallat	1. forhandle;  
šiehtadit	1. avtale;  
čiktáladdat	1. bøte, holde på med å bøte garn el. not;  
čiktásit	1. bøte, bli bøtt;  
čivttadit	1. bøte;  
čivttašit	1. bøte garn/ not;  
čivttihit	1. få garnet/ noten bøtt;  
čiđđit	1. være påståelig;  
šleaŋgasit	1. få skrens;  
šloavaldahttit	1. flambere;  
šluhttet	1. avlyse;  
šláddjet	1. klassifisere;  
čoahkkimastit	1. avholde møte;  
čoahkkáigeassit	1. oppsummere;  2. sammenfatte;  
čoahkáidit	1. konsentrere;  
čoalluladdat	1. sløye mye, sløye fort;  
čoallulit	1. sløye fort;  
čoaltašuvvat	1. klumpe seg;  
čoavdilit	1. løse;  
šolget	1. smelte;  
čollestit	1. sløye fisk;  
čuldet	1. sette opp stolpene i et laksestengsel;  
čuldot	1. stryke;  
čuohcalit	1. gå i garn/ not;  
čuohpahit	1. operere;  
čuoibmuladdat	1. stake, holde på med å;  
čuoibmulit	1. stake avsted, stake litt;  
čuoibmut	1. stake;  
čuolbmalit	1. knytte, knytte fort;  
čuomastuvvat	1. tørkes;  
čuopmat	1. rubbe;  
čuoččaldahttit	1. anlegge;  
čuvkuluvvat	1. koagulere;  
čájet	1. vis;  
čákŋadit	1. få til å gå i garn eller not;  
čákŋalit	1. smyge seg under;  
čálašit	1. korrespondere;  
čálestit	1. notere;  
čálgat	1. utvikle seg;  
čázehuhttit	1. drenere;  
